Sr. No.,Sr. No. Hard Copy,Directive No.,Year ID,Fiscal Year,Region ID,Region,Con ID,Constituency Name,Members Type,MP ID,MP Name,Full Name of Party,Party,Amount (Million PKR),Fund Status,Programme,Sector,Project District,Project Area
33,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,324,NA-324,Reserved - Women,291,Khurshid Saeed,Awami National Party,ANP,4.113,Consumed,Peoples Works Programme,Missing,,
34,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,325,NA-325,Reserved - Women,72,Asma Arbab Alamgir,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
35,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,326,NA-326,Reserved - Women,391,Mehrunisa Afridi,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
36,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,327,NA-327,Reserved - Women,160,Farhat Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
37,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,328,NA-328,Reserved - Women,240,Imtiaz Sultan Bukhari,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
38,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,329,NA-329,Reserved - Women,171,Farzana Mushtaq Ghani,Pakistan Muslim League,PML,9.527,Consumed,Peoples Works Programme,Missing,,
39,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,33,Afia Zia,Jamaat-e-Islami Pakistan,JI,3.942,Consumed,Peoples Works Programme,Missing,,
40,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,58,Ammar Ahmed Khan,Pakistan Muslim League,PML,1.25,Consumed,Peoples Works Programme,Missing,,
41,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,60,Anisa Zeb Tahirkheli,Pakistan Peoples party(Sherpao)/Qaumi Watan Party (Sherpao),PPP-S/QWP,9.91,Consumed,Peoples Works Programme,Missing,,
42,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,81,Azam Khan Swati,Jamiat Ulama-e-Islam (F),JUI,0.77,Consumed,Peoples Works Programme,Missing,,
43,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,175,Fauzia Fakharuz Zaman Khan,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
44,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,211,Haji Muhammad Adeel,Awami National Party,ANP,2,Consumed,Peoples Works Programme,Missing,,
45,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,237,Ilyas Ahmed Bilour,Awami National Party,ANP,8.2,Consumed,Peoples Works Programme,Missing,,
46,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,245,Iqbal Zafar Jhagra,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
47,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,270,Kausar Firdaus,Muttahidda Majlis-e-Amal Pakistan,MMA,2.154,Consumed,Peoples Works Programme,Missing,,
48,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,365,Maulana Gul Naseeb Khan,Jamiat Ulama-e-Islam (F),JUI,9.95,Consumed,Peoples Works Programme,Missing,,
49,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,375,Maulana Rahat Hussain,Jamiat Ulama-e-Islam (F),JUI,9.6,Consumed,Peoples Works Programme,Missing,,
50,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,441,Muhammad Ghufran Khan,Pakistan Peoples party(Sherpao)/Qaumi Watan Party (Sherpao),PPP-S/QWP,4.11,Consumed,Peoples Works Programme,Missing,,
51,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,468,Muhammad Said,Muttahidda Majlis-e-Amal Pakistan,MMA,6.439,Consumed,Peoples Works Programme,Missing,,
52,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,476,Muhammad Talha Mahmood,Jamiat Ulama-e-Islam (F),JUI,9.5,Consumed,Peoples Works Programme,Missing,,
53,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,556,Professor Muhammad Ibrahim Khan,Jamaat-e-Islami Pakistan,JI,0.56,Consumed,Peoples Works Programme,Missing,,
54,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,632,Sahibzada Khalid Jan,Jamiat Ulama-e-Islam (F),JUI,9.865,Consumed,Peoples Works Programme,Missing,,
55,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,641,Saleem Saifullah Khan,Pakistan Muslim League,PML,4.7,Consumed,Peoples Works Programme,Missing,,
56,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,725,Shujaul Mulk,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
57,NA,NA,7,2008-09,1,Khyber Pakhtunkhwa,NA,NA,Senators,800,Waqar Ahmad Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
58,NA,NA,7,2008-09,2,FATA,36,"NA-36 Tribal Area-I, Mohamand Agency",Elected,331,Malik Bilal Rehman,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
59,NA,NA,7,2008-09,2,FATA,37,"NA-37 Tribal Area-II, Kurram Agency",Elected,639,Sajid Hussain Turi,Independent,IND,8,Consumed,Peoples Works Programme,Missing,,
60,NA,NA,7,2008-09,2,FATA,38,"NA-38 Tribal Area-III, Kurram Agency",Elected,485,Munir Khan Orakzai,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
61,NA,NA,7,2008-09,2,FATA,39,"NA-39 Tribal Area-IV, Orakzai Agency",Elected,258,Jawad Hussain Orakzai,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
62,NA,NA,7,2008-09,2,FATA,40,"NA-40 Tribal Area-V, North Wazirastan Agency",Elected,414,Muhammad Kamran Khan,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
63,NA,NA,7,2008-09,2,FATA,41,"NA-41 Tribal Area-VI, South Wazirastan Agency",Elected,13,Abdul Maalik Wazir,Independent,IND,7.6,Consumed,Peoples Works Programme,Missing,,
64,NA,NA,7,2008-09,2,FATA,45,"NA-45 Tribal Area-X, Khyber Agency",Elected,408,Mir Muhammad Noorul Haq Qadri,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
65,NA,NA,7,2008-09,2,FATA,46,"NA-46 Tribal Area-XI, Khyber Agency",Elected,222,Hameedullah Jan Afridi,Independent,IND,9.7,Consumed,Peoples Works Programme,Missing,,
66,NA,NA,7,2008-09,2,FATA,47,"NA-47 Tribal Area-XII, Peshawar/Bannu/Kohat/D.I.Khan/Tank/Lakki",Elected,805,Zafar Beg Bhattani,Independent,IND,9,Consumed,Peoples Works Programme,Missing,,
67,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,22,Abdul Raziq Afridi,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
68,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,39,Agha Pari Gul,Pakistan Muslim League,PML,7.986,Consumed,Peoples Works Programme,Missing,,
69,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,150,Engineer Malik Rashid Ahmad Khan,Independent,IND,2.173,Consumed,Peoples Works Programme,Missing,,
70,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,197,Hafiz Abdul Malik Qadri,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
71,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,200,Hafiz Rasheed Ahmad,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
72,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,373,Maulana Muhammad Saleh Shah Qureshi,Independent,IND,7.25,Consumed,Peoples Works Programme,Missing,,
73,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,505,Nasir Khan Afridi,Independent,IND,9.7,Consumed,Peoples Works Programme,Missing,,
74,NA,NA,7,2008-09,2,FATA,NA,NA,Senators,760,Syed Muhammad Hussain,Independent,IND,10,Consumed,Peoples Works Programme,Missing,,
75,NA,NA,7,2008-09,3,ICT,48,NA-48 Islamabad-I,Elected,61,Anjum Aqeel Khan,Pakistan Muslim League (N),PML-N,8.23,Consumed,Peoples Works Programme,Missing,,
76,NA,NA,7,2008-09,3,ICT,49,NA-49 Islamabad-II,Elected,788,Tariq Fazal Chaudhary,Pakistan Muslim League (N),PML-N,6.454,Consumed,Peoples Works Programme,Missing,,
77,NA,NA,7,2008-09,3,ICT,NA,NA,Senators,488,Mushahid Hussain Syed,Pakistan Muslim League,PML,8.64,Consumed,Peoples Works Programme,Missing,,
78,NA,NA,7,2008-09,3,ICT,NA,NA,Senators,782,Tahira Latif,Pakistan Muslim League,PML,9.65,Consumed,Peoples Works Programme,Missing,,
79,NA,NA,7,2008-09,3,ICT,NA,NA,Senators,787,Tariq Azeem Khan,Pakistan Muslim League,PML,9.929,Consumed,Peoples Works Programme,Missing,,
80,NA,NA,7,2008-09,3,ICT,NA,NA,Senators,803,Waseem Sajjad,Pakistan Muslim League,PML,1,Consumed,Peoples Works Programme,Missing,,
81,NA,NA,7,2008-09,4,Punjab,50,NA-50 Rawalpindi-I,Elected,698,Shahid Khaqan Abbasi,Pakistan Muslim League (N),PML-N,6.612,Consumed,Peoples Works Programme,Missing,,
82,NA,NA,7,2008-09,4,Punjab,51,NA-51 Rawalpindi-II,Elected,576,Raja Pervaiz Ashraf,Pakistan Peoples Party Parliamentarians,PPPP,9.5,Consumed,Peoples Works Programme,Missing,,
83,NA,NA,7,2008-09,4,Punjab,52,NA-52 Rawalpindi-III,Elected,97,Captain (R) Muhammad Safdar,Pakistan Muslim League (N),PML-N,9.775,Consumed,Peoples Works Programme,Missing,,
84,NA,NA,7,2008-09,4,Punjab,54,NA-54 Rawalpindi-V,Elected,326,Malik Abrar Ahmad,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
85,NA,NA,7,2008-09,4,Punjab,55,NA-55 Rawalpindi-VI,Elected,214,Haji Parvaiz Khan,Pakistan Muslim League (N),PML-N,9.97,Consumed,Peoples Works Programme,Missing,,
86,NA,NA,7,2008-09,4,Punjab,56,NA-56 Rawalpindi-VII,Elected,443,Muhammad Hanif Abbasi,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
87,NA,NA,7,2008-09,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,9.917,Consumed,Peoples Works Programme,Missing,,
88,NA,NA,7,2008-09,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
89,NA,NA,7,2008-09,4,Punjab,60,NA-60 Chakwal-I,Elected,77,Ayaz Amir,Pakistan Muslim League (N),PML-N,3.789,Consumed,Peoples Works Programme,Missing,,
90,NA,NA,7,2008-09,4,Punjab,61,NA-61 Chakwal-II,Elected,437,Muhammad Faez Tamman,Pakistan Muslim League (N),PML-N,9.97,Consumed,Peoples Works Programme,Missing,,
91,NA,NA,7,2008-09,4,Punjab,63,NA-63 Jhelum-II,Elected,572,Raja Muhammad Asad Khan,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
92,NA,NA,7,2008-09,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,9.825,Consumed,Peoples Works Programme,Missing,,
93,NA,NA,7,2008-09,4,Punjab,65,NA-65 Sargodha-II,Elected,109,Chaudhry Ghias Ahmed Mela,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
94,NA,NA,7,2008-09,4,Punjab,66,NA-66 Sargodha-III,Elected,791,Tasneem Ahmed Qureshi,Pakistan Peoples Party Parliamentarians,PPPP,9.959,Consumed,Peoples Works Programme,Missing,,
95,NA,NA,7,2008-09,4,Punjab,67,NA-67 Sargodha-IV,Elected,104,Chaudhry Anwar Ali Cheema,Pakistan Muslim League,PML,9.939,Consumed,Peoples Works Programme,Missing,,
96,NA,NA,7,2008-09,4,Punjab,68,NA-68 Sargodha-V,Elected,757,Syed Javed Hasnain Shah,Pakistan Muslim League (N),PML-N,9.661,Consumed,Peoples Works Programme,Missing,,
97,NA,NA,7,2008-09,4,Punjab,69,NA-69 Khushab-I,Elected,728,Sumaira Malik,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
98,NA,NA,7,2008-09,4,Punjab,70,NA-70 Khushab-II,Elected,344,Malik Shakir Bashir Awan,Pakistan Muslim League (N),PML-N,9.1,Consumed,Peoples Works Programme,Missing,,
99,NA,NA,7,2008-09,4,Punjab,71,NA-71 Mianwali-I,Elected,518,Nawabzada Malik Amad Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
100,NA,NA,7,2008-09,4,Punjab,72,NA-72 Mianwali-II,Elected,236,Humair Hayat Khan Rokhri,Pakistan Muslim League (N),PML-N,9.865,Consumed,Peoples Works Programme,Missing,,
101,NA,NA,7,2008-09,4,Punjab,73,NA-73 Bhakkar-I,Elected,14,Abdul Majeed Khan Khanan Khail,Pakistan Muslim League (N),PML-N,9.878,Consumed,Peoples Works Programme,Missing,,
102,NA,NA,7,2008-09,4,Punjab,74,NA-74 Bhakkar-II,Elected,675,Sardar Rashid Akbar Khan,Pakistan Muslim League (N),PML-N,9.841,Consumed,Peoples Works Programme,Missing,,
103,NA,NA,7,2008-09,4,Punjab,75,NA-75 Faisalabad-I,Elected,789,Tariq Mehmood Bajwa,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
104,NA,NA,7,2008-09,4,Punjab,76,NA-76 Faisalabad-II,Elected,339,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
105,NA,NA,7,2008-09,4,Punjab,77,NA-77 Faisalabad-III,Elected,121,Chaudhry Muhammad Asim Nazir,Pakistan Muslim League (N),PML-N,9.88,Consumed,Peoples Works Programme,Missing,,
106,NA,NA,7,2008-09,4,Punjab,78,NA-78 Faisalabad-IV,Elected,566,Raheela Shahadat Baloch,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
107,NA,NA,7,2008-09,4,Punjab,79,NA-79 Faisalabad-V,Elected,583,Rana Mohammad Farooq Saeed Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
108,NA,NA,7,2008-09,4,Punjab,80,NA-80 Faisalabad-VI,Elected,581,Rana Asif Tauseef,Pakistan Muslim League,PML,8.11,Consumed,Peoples Works Programme,Missing,,
109,NA,NA,7,2008-09,4,Punjab,81,NA-81 Faisalabad-VII,Elected,130,Chaudhry Saeed Iqbal,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
110,NA,NA,7,2008-09,4,Punjab,82,NA-82 Faisalabad-VIII,Elected,630,Sahibzada Haji Muhammad Fazal Karim,Pakistan Muslim League (N),PML-N,9.865,Consumed,Peoples Works Programme,Missing,,
111,NA,NA,7,2008-09,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,9.31,Consumed,Peoples Works Programme,Missing,,
112,NA,NA,7,2008-09,4,Punjab,84,NA-84 Faisalabad-X,Elected,100,Chaudhry Abid Sher Ali,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
113,NA,NA,7,2008-09,4,Punjab,85,NA-85 Faisalabad-XI,Elected,212,Haji Muhammad Akram Ansari,Pakistan Muslim League (N),PML-N,9.5,Consumed,Peoples Works Programme,Missing,,
114,NA,NA,7,2008-09,4,Punjab,86,NA-86 Chiniot-I (Old Jhang-I),Elected,741,Syed Anayat Ali Shah,Pakistan Peoples Party Parliamentarians,PPPP,9.955,Consumed,Peoples Works Programme,Missing,,
115,NA,NA,7,2008-09,4,Punjab,89,NA-89 Jhang-I (Old NA-89 Jhang-IV),Elected,717,Sheikh Waqas Akram,Pakistan Muslim League,PML,6,Consumed,Peoples Works Programme,Missing,,
116,NA,NA,7,2008-09,4,Punjab,90,NA-90 Jhang-II (Old NA-90 Jhang-V),Elected,635,Saima Akhtar Bharwana,Independent,IND,9.805,Consumed,Peoples Works Programme,Missing,,
117,NA,NA,7,2008-09,4,Punjab,91,NA-91 Jhang-III (Old NA-91 Jhang-VI),Elected,633,Sahibzada Muhammad Mehboob Sultan,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
118,NA,NA,7,2008-09,4,Punjab,92,NA-92 Toba Tek Singh-I,Elected,165,Farkhanda Amjad Warraich,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
119,NA,NA,7,2008-09,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,9.999,Consumed,Peoples Works Programme,Missing,,
120,NA,NA,7,2008-09,4,Punjab,94,NA-94 Toba Tek Singh-III,Elected,603,Riaz Fatiana,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
121,NA,NA,7,2008-09,4,Punjab,95,NA-95 Gujranwala-I,Elected,797,Usman Ibrahim,Pakistan Muslim League (N),PML-N,5.379,Consumed,Peoples Works Programme,Missing,,
122,NA,NA,7,2008-09,4,Punjab,97,NA-97 Gujranwala-III,Elected,119,Chaudhry Mehmood Bashir Virk,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
123,NA,NA,7,2008-09,4,Punjab,99,NA-99 Gujranwala-V,Elected,585,Rana Omer Nazir Ahmad Khan,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
124,NA,NA,7,2008-09,4,Punjab,100,NA-100 Gujranwala-VI,Elected,210,Haji Mudassar Qayyum Nahra,Independent,IND,5,Consumed,Peoples Works Programme,Missing,,
125,NA,NA,7,2008-09,4,Punjab,101,NA-101 Gujranwala-VII,Elected,262,Justice (R) Iftikhar Ahmad Cheema,Pakistan Muslim League (N),PML-N,8.7,Consumed,Peoples Works Programme,Missing,,
126,NA,NA,7,2008-09,4,Punjab,102,NA-102 Hafizabad-I,Elected,636,Saira Afzal Tarar,Pakistan Muslim League (N),PML-N,3.11,Consumed,Peoples Works Programme,Missing,,
127,NA,NA,7,2008-09,4,Punjab,103,NA-103 Hafizabad-II,Elected,116,Chaudhry Liaqat Abbas Bhatti,Pakistan Muslim League,PML,2.058,Consumed,Peoples Works Programme,Missing,,
128,NA,NA,7,2008-09,4,Punjab,104,NA-104 Gujrat-I,Elected,137,Chaudhry Wajahat Hussain,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
129,NA,NA,7,2008-09,4,Punjab,105,NA-105 Gujrat-II,Elected,101,Chaudhry Ahmad Mukhtar,Pakistan Muslim League,PML,4.496,Consumed,Peoples Works Programme,Missing,,
130,NA,NA,7,2008-09,4,Punjab,106,NA-106 Gujrat-III,Elected,129,Chaudhry Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,PPPP,2.453,Consumed,Peoples Works Programme,Missing,,
131,NA,NA,7,2008-09,4,Punjab,107,NA-107 Gujrat-IV,Elected,451,Muhammad Jamil Malik,Pakistan Muslim League (N),PML-N,10,Consumed,Peoples Works Programme,Missing,,
132,NA,NA,7,2008-09,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
133,NA,NA,7,2008-09,4,Punjab,109,NA-109 Mandi Bahauddin-II,Elected,521,Nazar Muhammad Gondal,Pakistan Peoples Party Parliamentarians,PPPP,5.403,Consumed,Peoples Works Programme,Missing,,
134,NA,NA,7,2008-09,4,Punjab,110,NA-110 Sialkot-I,Elected,282,Khawaja Muhammad Asif,Pakistan Muslim League (N),PML-N,8.482,Consumed,Peoples Works Programme,Missing,,
